Height,Angle,Radius,Thickness
180.000000,0.000000,14.141706,0.193000
180.000000,5.000000,14.141706,0.194000
180.000000,10.000000,14.141706,0.195000
180.000000,15.000000,14.141706,0.196000
180.000000,20.000000,14.141706,0.197000
180.000000,25.000000,14.141706,0.198000
180.000000,30.000000,14.141706,0.199000
180.000000,35.000000,14.141706,0.200000
180.000000,40.000000,14.141706,0.201000
180.000000,45.000000,14.141706,0.202000
180.000000,50.000000,14.141706,0.203222
180.000000,55.000000,14.141706,0.204444
180.000000,60.000000,14.141706,0.205667
180.000000,65.000000,14.141706,0.206889
180.000000,70.000000,14.141706,0.208111
180.000000,75.000000,14.141706,0.209333
180.000000,80.000000,14.141706,0.210556
180.000000,85.000000,14.141706,0.211778
180.000000,90.000000,14.141706,0.213000
180.000000,95.000000,14.141706,0.213000
180.000000,100.000000,14.141706,0.213000
180.000000,105.000000,14.141706,0.213000
180.000000,110.000000,14.141706,0.213000
180.000000,115.000000,14.141706,0.213000
180.000000,120.000000,14.141706,0.213000
180.000000,125.000000,14.141706,0.213000
180.000000,130.000000,14.141706,0.213000
180.000000,135.000000,14.141706,0.213000
180.000000,140.000000,14.141706,0.211667
180.000000,145.000000,14.141706,0.210333
180.000000,150.000000,14.141706,0.209000
180.000000,155.000000,14.141706,0.207667
180.000000,160.000000,14.141706,0.206333
180.000000,165.000000,14.141706,0.205000
180.000000,170.000000,14.141706,0.203667
180.000000,175.000000,14.141706,0.202333
180.000000,180.000000,14.141706,0.201000
180.000000,185.000000,14.141706,0.202222
180.000000,190.000000,14.141706,0.203444
180.000000,195.000000,14.141706,0.204667
180.000000,200.000000,14.141706,0.205889
180.000000,205.000000,14.141706,0.207111
180.000000,210.000000,14.141706,0.208333
180.000000,215.000000,14.141706,0.209556
180.000000,220.000000,14.141706,0.210778
180.000000,225.000000,14.141706,0.212000
180.000000,230.000000,14.141706,0.212444
180.000000,235.000000,14.141706,0.212889
180.000000,240.000000,14.141706,0.213333
180.000000,245.000000,14.141706,0.213778
180.000000,250.000000,14.141706,0.214222
180.000000,255.000000,14.141706,0.214667
180.000000,260.000000,14.141706,0.215111
180.000000,265.000000,14.141706,0.215556
180.000000,270.000000,14.141706,0.216000
180.000000,275.000000,14.141706,0.215556
180.000000,280.000000,14.141706,0.215111
180.000000,285.000000,14.141706,0.214667
180.000000,290.000000,14.141706,0.214222
180.000000,295.000000,14.141706,0.213778
180.000000,300.000000,14.141706,0.213333
180.000000,305.000000,14.141706,0.212889
180.000000,310.000000,14.141706,0.212444
180.000000,315.000000,14.141706,0.212000
180.000000,320.000000,14.141706,0.209889
180.000000,325.000000,14.141706,0.207778
180.000000,330.000000,14.141706,0.205667
180.000000,335.000000,14.141706,0.203556
180.000000,340.000000,14.141706,0.201444
180.000000,345.000000,14.141706,0.199333
180.000000,350.000000,14.141706,0.197222
180.000000,355.000000,14.141706,0.195111
175.000000,0.000000,17.613639,0.152000
175.000000,5.000000,17.613639,0.153667
175.000000,10.000000,17.613639,0.155333
175.000000,15.000000,17.613639,0.157000
175.000000,20.000000,17.613639,0.158667
175.000000,25.000000,17.613639,0.160333
175.000000,30.000000,17.613639,0.162000
175.000000,35.000000,17.613639,0.163667
175.000000,40.000000,17.613639,0.165333
175.000000,45.000000,17.613639,0.167000
175.000000,50.000000,17.613639,0.167111
175.000000,55.000000,17.613639,0.167222
175.000000,60.000000,17.613639,0.167333
175.000000,65.000000,17.613639,0.167444
175.000000,70.000000,17.613639,0.167556
175.000000,75.000000,17.613639,0.167667
175.000000,80.000000,17.613639,0.167778
175.000000,85.000000,17.613639,0.167889
175.000000,90.000000,17.613639,0.168000
175.000000,95.000000,17.613639,0.168333
175.000000,100.000000,17.613639,0.168667
175.000000,105.000000,17.613639,0.169000
175.000000,110.000000,17.613639,0.169333
175.000000,115.000000,17.613639,0.169667
175.000000,120.000000,17.613639,0.170000
175.000000,125.000000,17.613639,0.170333
175.000000,130.000000,17.613639,0.170667
175.000000,135.000000,17.613639,0.171000
175.000000,140.000000,17.613639,0.170222
175.000000,145.000000,17.613639,0.169444
175.000000,150.000000,17.613639,0.168667
175.000000,155.000000,17.613639,0.167889
175.000000,160.000000,17.613639,0.167111
175.000000,165.000000,17.613639,0.166333
175.000000,170.000000,17.613639,0.165556
175.000000,175.000000,17.613639,0.164778
175.000000,180.000000,17.613639,0.164000
175.000000,185.000000,17.613639,0.166444
175.000000,190.000000,17.613639,0.168889
175.000000,195.000000,17.613639,0.171333
175.000000,200.000000,17.613639,0.173778
175.000000,205.000000,17.613639,0.176222
175.000000,210.000000,17.613639,0.178667
175.000000,215.000000,17.613639,0.181111
175.000000,220.000000,17.613639,0.183556
175.000000,225.000000,17.613639,0.186000
175.000000,230.000000,17.613639,0.184444
175.000000,235.000000,17.613639,0.182889
175.000000,240.000000,17.613639,0.181333
175.000000,245.000000,17.613639,0.179778
175.000000,250.000000,17.613639,0.178222
175.000000,255.000000,17.613639,0.176667
175.000000,260.000000,17.613639,0.175111
175.000000,265.000000,17.613639,0.173556
175.000000,270.000000,17.613639,0.172000
175.000000,275.000000,17.613639,0.171111
175.000000,280.000000,17.613639,0.170222
175.000000,285.000000,17.613639,0.169333
175.000000,290.000000,17.613639,0.168444
175.000000,295.000000,17.613639,0.167556
175.000000,300.000000,17.613639,0.166667
175.000000,305.000000,17.613639,0.165778
175.000000,310.000000,17.613639,0.164889
175.000000,315.000000,17.613639,0.164000
175.000000,320.000000,17.613639,0.162667
175.000000,325.000000,17.613639,0.161333
175.000000,330.000000,17.613639,0.160000
175.000000,335.000000,17.613639,0.158667
175.000000,340.000000,17.613639,0.157333
175.000000,345.000000,17.613639,0.156000
175.000000,350.000000,17.613639,0.154667
175.000000,355.000000,17.613639,0.153333
170.000000,0.000000,20.753488,0.138000
170.000000,5.000000,20.753488,0.138667
170.000000,10.000000,20.753488,0.139333
170.000000,15.000000,20.753488,0.140000
170.000000,20.000000,20.753488,0.140667
170.000000,25.000000,20.753488,0.141333
170.000000,30.000000,20.753488,0.142000
170.000000,35.000000,20.753488,0.142667
170.000000,40.000000,20.753488,0.143333
170.000000,45.000000,20.753488,0.144000
170.000000,50.000000,20.753488,0.143889
170.000000,55.000000,20.753488,0.143778
170.000000,60.000000,20.753488,0.143667
170.000000,65.000000,20.753488,0.143556
170.000000,70.000000,20.753488,0.143444
170.000000,75.000000,20.753488,0.143333
170.000000,80.000000,20.753488,0.143222
170.000000,85.000000,20.753488,0.143111
170.000000,90.000000,20.753488,0.143000
170.000000,95.000000,20.753488,0.142889
170.000000,100.000000,20.753488,0.142778
170.000000,105.000000,20.753488,0.142667
170.000000,110.000000,20.753488,0.142556
170.000000,115.000000,20.753488,0.142444
170.000000,120.000000,20.753488,0.142333
170.000000,125.000000,20.753488,0.142222
170.000000,130.000000,20.753488,0.142111
170.000000,135.000000,20.753488,0.142000
170.000000,140.000000,20.753488,0.142444
170.000000,145.000000,20.753488,0.142889
170.000000,150.000000,20.753488,0.143333
170.000000,155.000000,20.753488,0.143778
170.000000,160.000000,20.753488,0.144222
170.000000,165.000000,20.753488,0.144667
170.000000,170.000000,20.753488,0.145111
170.000000,175.000000,20.753488,0.145556
170.000000,180.000000,20.753488,0.146000
170.000000,185.000000,20.753488,0.149111
170.000000,190.000000,20.753488,0.152222
170.000000,195.000000,20.753488,0.155333
170.000000,200.000000,20.753488,0.158444
170.000000,205.000000,20.753488,0.161556
170.000000,210.000000,20.753488,0.164667
170.000000,215.000000,20.753488,0.167778
170.000000,220.000000,20.753488,0.170889
170.000000,225.000000,20.753488,0.174000
170.000000,230.000000,20.753488,0.171667
170.000000,235.000000,20.753488,0.169333
170.000000,240.000000,20.753488,0.167000
170.000000,245.000000,20.753488,0.164667
170.000000,250.000000,20.753488,0.162333
170.000000,255.000000,20.753488,0.160000
170.000000,260.000000,20.753488,0.157667
170.000000,265.000000,20.753488,0.155333
170.000000,270.000000,20.753488,0.153000
170.000000,275.000000,20.753488,0.151889
170.000000,280.000000,20.753488,0.150778
170.000000,285.000000,20.753488,0.149667
170.000000,290.000000,20.753488,0.148556
170.000000,295.000000,20.753488,0.147444
170.000000,300.000000,20.753488,0.146333
170.000000,305.000000,20.753488,0.145222
170.000000,310.000000,20.753488,0.144111
170.000000,315.000000,20.753488,0.143000
170.000000,320.000000,20.753488,0.142444
170.000000,325.000000,20.753488,0.141889
170.000000,330.000000,20.753488,0.141333
170.000000,335.000000,20.753488,0.140778
170.000000,340.000000,20.753488,0.140222
170.000000,345.000000,20.753488,0.139667
170.000000,350.000000,20.753488,0.139111
170.000000,355.000000,20.753488,0.138556
165.000000,0.000000,23.588071,0.132000
165.000000,5.000000,23.588071,0.132000
165.000000,10.000000,23.588071,0.132000
165.000000,15.000000,23.588071,0.132000
165.000000,20.000000,23.588071,0.132000
165.000000,25.000000,23.588071,0.132000
165.000000,30.000000,23.588071,0.132000
165.000000,35.000000,23.588071,0.132000
165.000000,40.000000,23.588071,0.132000
165.000000,45.000000,23.588071,0.132000
165.000000,50.000000,23.588071,0.131778
165.000000,55.000000,23.588071,0.131556
165.000000,60.000000,23.588071,0.131333
165.000000,65.000000,23.588071,0.131111
165.000000,70.000000,23.588071,0.130889
165.000000,75.000000,23.588071,0.130667
165.000000,80.000000,23.588071,0.130444
165.000000,85.000000,23.588071,0.130222
165.000000,90.000000,23.588071,0.130000
165.000000,95.000000,23.588071,0.130000
165.000000,100.000000,23.588071,0.130000
165.000000,105.000000,23.588071,0.130000
165.000000,110.000000,23.588071,0.130000
165.000000,115.000000,23.588071,0.130000
165.000000,120.000000,23.588071,0.130000
165.000000,125.000000,23.588071,0.130000
165.000000,130.000000,23.588071,0.130000
165.000000,135.000000,23.588071,0.130000
165.000000,140.000000,23.588071,0.130444
165.000000,145.000000,23.588071,0.130889
165.000000,150.000000,23.588071,0.131333
165.000000,155.000000,23.588071,0.131778
165.000000,160.000000,23.588071,0.132222
165.000000,165.000000,23.588071,0.132667
165.000000,170.000000,23.588071,0.133111
165.000000,175.000000,23.588071,0.133556
165.000000,180.000000,23.588071,0.134000
165.000000,185.000000,23.588071,0.136333
165.000000,190.000000,23.588071,0.138667
165.000000,195.000000,23.588071,0.141000
165.000000,200.000000,23.588071,0.143333
165.000000,205.000000,23.588071,0.145667
165.000000,210.000000,23.588071,0.148000
165.000000,215.000000,23.588071,0.150333
165.000000,220.000000,23.588071,0.152667
165.000000,225.000000,23.588071,0.155000
165.000000,230.000000,23.588071,0.153889
165.000000,235.000000,23.588071,0.152778
165.000000,240.000000,23.588071,0.151667
165.000000,245.000000,23.588071,0.150556
165.000000,250.000000,23.588071,0.149444
165.000000,255.000000,23.588071,0.148333
165.000000,260.000000,23.588071,0.147222
165.000000,265.000000,23.588071,0.146111
165.000000,270.000000,23.588071,0.145000
165.000000,275.000000,23.588071,0.143556
165.000000,280.000000,23.588071,0.142111
165.000000,285.000000,23.588071,0.140667
165.000000,290.000000,23.588071,0.139222
165.000000,295.000000,23.588071,0.137778
165.000000,300.000000,23.588071,0.136333
165.000000,305.000000,23.588071,0.134889
165.000000,310.000000,23.588071,0.133444
165.000000,315.000000,23.588071,0.132000
165.000000,320.000000,23.588071,0.132000
165.000000,325.000000,23.588071,0.132000
165.000000,330.000000,23.588071,0.132000
165.000000,335.000000,23.588071,0.132000
165.000000,340.000000,23.588071,0.132000
165.000000,345.000000,23.588071,0.132000
165.000000,350.000000,23.588071,0.132000
165.000000,355.000000,23.588071,0.132000
160.000000,0.000000,26.144189,0.121000
160.000000,5.000000,26.144189,0.121333
160.000000,10.000000,26.144189,0.121667
160.000000,15.000000,26.144189,0.122000
160.000000,20.000000,26.144189,0.122333
160.000000,25.000000,26.144189,0.122667
160.000000,30.000000,26.144189,0.123000
160.000000,35.000000,26.144189,0.123333
160.000000,40.000000,26.144189,0.123667
160.000000,45.000000,26.144189,0.124000
160.000000,50.000000,26.144189,0.123556
160.000000,55.000000,26.144189,0.123111
160.000000,60.000000,26.144189,0.122667
160.000000,65.000000,26.144189,0.122222
160.000000,70.000000,26.144189,0.121778
160.000000,75.000000,26.144189,0.121333
